ID,T1,T2,T3
1,21.5,16.5,23.5
2,21,16,20
3,30.5,31,30
4,23,18.5,25.5
5,25.5,13.5,
6,27.5,27,35.5
7,25.5,16,21.5
8,27.5,18.5,36
9,26,20.5,33
10,24.5,27.5,32.5
11,32,18.5,37
12,24,19,31.5
13,26.5,25.5,26.5
14,26,27,36.5
15,32,35,39
16,27,34,29
17,22,34.5,32.5
18,32,31,34
19,30.5,12.5,33
20,29.5,28,29.5
21,24.5,30.5,25.5
22,30,30.5,37.5
23,32,10.5,25
24,32,33,35.5
25,24.5,21.5,29
26,25.5,22.5,26.5
27,28.5,29,35
28,15,12.5,26.5
29,25.5,26.5,18
30,22.5,23,31.5
31,31.5,30.5,34
32,24,31.5,35.5
33,29,25,25
34,28,16,30
35,32,21,31.5
36,28.5,20.5,31.5
37,26,26,23
38,27.5,23.5,23.5
39,29.5,30,28
40,27.5,37.5,30
